node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw,rank
WRSBES_BESS1,-4957.528,1056.2182499999997,-6013.74625,193,9.7,38.11450777202073,24.4720207253886,2229.6,-1878.2,187
WAL_RN,-5004.68209,-4551.17809,-453.50400000000036,196,145.0,34.52857142857143,14.081989795918366,3102.3,-4220.8,188
IND_INADALE1,-5018.3357499999975,7877.749749999999,-12896.085499999997,200,9.9,41.82,14.957149999999999,8995.6,-5571.9,189
LFSTH_RN,-5195.88309,-4284.35009,-911.533,127,9.9,53.45354330708662,27.630708661417323,420.5,-1185.8,190
WZRD_ESS_RN,-5424.12385,-4023.1567500000006,-1400.9670999999998,130,71.0,27.686153846153843,11.611384615384615,288.7,-447.1,191
TOYAH_RN,-5619.94125,-1330.614,-4289.327249999999,192,6.6,39.278645833333336,26.82203125,200.0,-7194.0,192
STAM_SLR_ALL,-5779.165,77.31324999999958,-5856.47825,195,70.0,38.84564102564102,15.198256410256409,2253.5,-1865.7,193
BRP_LOP1_RN,-6055.998749999999,-5445.380499999999,-610.6182500000006,195,9.9,37.415897435897435,14.029333333333332,6014.4,-6505.5,194
BSS_U1,-6121.293250000001,-353.9962500000004,-5767.296999999999,183,7.9,34.43825136612022,14.476284153005464,2879.8,-3420.5,195
ELSA_ESR_RN,-6215.195049999999,-1684.5159999999994,-4530.67905,197,9.9,35.50964467005076,10.030964467005075,2277.8,-2551.6,196
