rank,node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw
205,JAG_SLR_RN,-7639.733749999999,8241.93225,-15881.666,205,150.0,42.744514237855945,8.747579564489111,9514.800000000001,-8089.2
206,MAINLAND_RN,-7761.1829,-7553.96869,-207.21421000000015,136,9.9,53.94948717948718,13.475461538461538,1126.3,-920.0
207,FTDUNCAN_RN,-7894.319840000001,-5558.703840000001,-2335.616,195,100.0,46.955555555555556,6.24042328042328,515.1999999999999,-4308.2
208,RIOG_ESR_RN,-8009.639250000001,-8318.555750000001,308.91650000000004,202,9.9,40.714285714285715,31.984005102040815,1705.9,-1195.1
209,JAR_RN,-8404.27075,2618.9209999999994,-11023.191749999998,203,152.0,34.48828257191201,8.03248730964467,1345.0,-4847.9
210,ANEM_ESS_RN,-8500.708589999993,-5255.571840000018,-3245.13675,206,200.0,29.540333333333333,26.254191666666667,6582.4,-1879.0
211,CS_RN,-8979.102410000003,-5395.948410000006,-3583.154,203,9.9,46.301945854483925,11.401010998307953,1597.2,-3742.3
212,BRP_ZPT1_RN,-9222.3131,-3663.73475,-5558.57835,193,9.9,31.425311942959,6.0947682709447415,2193.1,-1883.7
213,GARC_BESS_RN,-9232.30176,-997.5487599999999,-8234.753,202,9.0,40.18715986394558,15.878035714285714,2147.4,-4722.0
214,GAMBIT_RN,-9291.060000000003,-11874.24,2583.18,206,100.0,28.88125,17.803625,1656.3,-950.5999999999999
215,TV_RN,-10197.714090000001,-4599.80659,-5597.907499999999,201,9.8,38.206153846153846,30.356384615384613,1017.0,-1854.1000000000001
216,GODY_SLR_RN,-10296.8325,-9079.72,-1217.1125000000004,109,0.0,26.99368932038835,4.9159142394822,2829.3,-295.0
217,LBRA_BES1,-10318.6933,645.1809099999997,-10963.87421,137,186.0,52.41240458015267,12.049351145038168,1960.3,-1992.7
